Video	BeeNo	Replicate	Phase	Treatment	Dose	IndVar	BeeID	Time	ShockDuration
1	SampleVideo	1	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee01	60	60.0333333333333
2	SampleVideo	1	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee01	120	15.1
3	SampleVideo	1	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee01	180	43.5
4	SampleVideo	1	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee01	240	24.8
5	SampleVideo	1	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee01	300	20.4
7	SampleVideo	2	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee02	60	51.9333333333333
8	SampleVideo	2	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee02	120	20.7333333333333
9	SampleVideo	2	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee02	180	52.9
10	SampleVideo	2	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee02	240	19
11	SampleVideo	2	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee02	300	3.8
13	SampleVideo	3	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee03	60	13.2
14	SampleVideo	3	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee03	120	28.3333333333333
15	SampleVideo	3	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee03	180	26.6666666666667
16	SampleVideo	3	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee03	240	11.9
17	SampleVideo	3	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee03	300	14.3333333333333
19	SampleVideo	4	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee04	60	0
20	SampleVideo	4	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee04	120	0
21	SampleVideo	4	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee04	180	0
22	SampleVideo	4	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee04	240	0
23	SampleVideo	4	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee04	300	0
25	SampleVideo	5	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee05	60	18.8
26	SampleVideo	5	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee05	120	28.4333333333333
27	SampleVideo	5	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee05	180	22.7333333333333
28	SampleVideo	5	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee05	240	27.9
29	SampleVideo	5	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee05	300	26.4
31	SampleVideo	6	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee06	60	6.23333333333333
32	SampleVideo	6	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee06	120	43.5666666666667
33	SampleVideo	6	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee06	180	32.7666666666667
34	SampleVideo	6	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee06	240	45.4
35	SampleVideo	6	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee06	300	23.3333333333333
37	SampleVideo	7	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee07	60	30.9
38	SampleVideo	7	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee07	120	30.2333333333333
39	SampleVideo	7	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee07	180	9.2
40	SampleVideo	7	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee07	240	0
41	SampleVideo	7	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee07	300	16.7333333333333
43	SampleVideo	8	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee08	60	60.0333333333333
44	SampleVideo	8	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee08	120	60.0333333333333
45	SampleVideo	8	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee08	180	60.0333333333333
46	SampleVideo	8	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee08	240	60.0333333333333
47	SampleVideo	8	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee08	300	54.9666666666667
49	SampleVideo	9	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee09	60	60.0333333333333
50	SampleVideo	9	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee09	120	22.8666666666667
51	SampleVideo	9	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee09	180	0
52	SampleVideo	9	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee09	240	0
53	SampleVideo	9	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee09	300	0
55	SampleVideo	10	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee10	60	27.2
56	SampleVideo	10	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee10	120	30.0333333333333
57	SampleVideo	10	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee10	180	26.5333333333333
58	SampleVideo	10	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee10	240	24.2666666666667
59	SampleVideo	10	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee10	300	32.0666666666667
61	SampleVideo	11	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee11	60	46.2
62	SampleVideo	11	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee11	120	13.2
63	SampleVideo	11	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee11	180	30.2666666666667
64	SampleVideo	11	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee11	240	41.9666666666667
65	SampleVideo	11	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee11	300	22.6333333333333
67	SampleVideo	12	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee12	60	27.2666666666667
68	SampleVideo	12	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee12	120	22.9666666666667
69	SampleVideo	12	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee12	180	22.7666666666667
70	SampleVideo	12	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee12	240	18.9666666666667
71	SampleVideo	12	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee12	300	26.7
73	SampleVideo	13	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee13	60	25.4666666666667
74	SampleVideo	13	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee13	120	39.9666666666667
75	SampleVideo	13	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee13	180	29.3666666666667
76	SampleVideo	13	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee13	240	16.1
77	SampleVideo	13	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee13	300	32.9666666666667
79	SampleVideo	14	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee14	60	28.4333333333333
80	SampleVideo	14	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee14	120	38.5333333333333
81	SampleVideo	14	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee14	180	36.1
82	SampleVideo	14	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee14	240	12.5
83	SampleVideo	14	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee14	300	25.7
85	SampleVideo	15	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee15	60	4.7
86	SampleVideo	15	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee15	120	27
87	SampleVideo	15	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee15	180	0
88	SampleVideo	15	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee15	240	0
89	SampleVideo	15	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee15	300	6.46666666666667
91	SampleVideo	16	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee16	60	0
92	SampleVideo	16	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee16	120	0
93	SampleVideo	16	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee16	180	15
94	SampleVideo	16	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee16	240	31.7666666666667
95	SampleVideo	16	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee16	300	27.4
97	SampleVideo	17	2	1	LiCl	0mM	LiCl_0mM	SampleVideo_Bee17	60	33.5333333333333
